2,1,1
3,1,4
4,1,7
2,-1,10
3,1,13
4,1,16
2,1,19
3,-1,
4,-1,22
1,1,25
2,-1,28
3,-1,
4,1,31
1,1,35
2,1,38
3,-1,
4,1,42
1,-1,46
2,1,49
3,-1,
4,-1,53
2,-1,
3,1,57
4,1,60
1,1,63
2,-1,
3,1,66
4,1,69
1,1,73
2,-1,
3,1,76
4,1,80
2,-1,84
3,1,87
4,-1,
1,1,90
2,1,93
3,1,97
4,-1,
1,1,101
2,1,104
3,1,108
4,1,112
1,-1,
3,-1,
4,-1,
1,-1,
2,1,115
3,1,118
4,-1,
1,-1,
2,1,122
3,-1,
4,1,125
1,-1,
2,-1,
3,1,129
4,1,132
1,-1,
2,-1,
3,1,136
4,1,140
1,-1,
2,-1,
3,1,144
4,-1,
1,-1,
2,-1,
3,1,148
4,1,152
1,1,155
2,1,158
3,-1,
4,1,162
1,-1,
2,1,166
3,-1,
4,1,169
1,-1,
2,1,173
3,-1,
4,1,177
1,1,181
2,-1,
3,1,184
4,1,187
1,-1,
2,1,191
3,1,195
4,1,198
1,-1,
2,-1,
4,1,202
1,-1,
2,-1,
3,1,205
4,1,208
1,1,212
2,1,215
3,1,219
4,-1,
1,-1,
2,-1,
3,1,223
4,-1,
1,-1,227
2,1,230
3,-1,
4,-1,234
1,-1,
2,-1,238
3,-1,
4,-1,241
1,-1,
2,1,245
3,-1,
4,1,249
1,-1,
2,1,253
3,-1,
4,1,257
1,1,260
2,-1,
3,1,263
4,1,267
1,-1,
2,-1,
3,1,271
4,1,275
1,-1,
2,-1,
3,-1,279
4,-1,282
1,-1,
2,-1,
3,1,286
4,-1,290
1,1,293
2,-1,296
3,1,300
4,1,304
1,-1,
2,1,307
3,1,311
4,1,315
1,-1,
2,1,318
3,1,322
4,1,326
1,-1,
2,-1,329
3,-1,332
2,-1,
3,1,335
4,1,338
1,1,341
2,-1,
3,-1,
4,1,344
1,1,348
2,-1,
3,1,351
4,1,355
1,1,359
2,-1,
3,-1,
4,-1,
1,-1,
3,-1,
4,-1,
1,-1,
2,-1,
3,-1,
4,-1,
1,-1,
2,-1,
3,-1,
4,-1,362
1,1,366
2,-1,
3,-1,
4,-1,
1,1,369
2,-1,
