3,-1,
4,1,1
2,1,3
3,-1,
4,1,5
2,1,7
3,-1,
2,-1,
4,1,9
2,-1,
3,1,10
3,-1,
4,1,11
3,-1,
4,1,13
2,1,14
3,-1,
4,1,16
2,-1,18
3,-1,
2,1,19
3,-1,
4,1,21
2,1,23
3,-1,
2,1,25
3,-1,
2,-1,
4,1,26
2,-1,
4,1,27
2,-1,
3,1,28
2,-1,
4,1,29
2,-1,
3,1,30
2,1,31
3,-1,
4,1,33
2,1,35
3,-1,
2,-1,
4,1,37
2,-1,
3,1,38
2,-1,39
3,-1,
2,1,40
3,-1,
2,-1,
3,1,42
2,-1,
3,-1,
4,1,43
2,-1,
3,-1,
3,-1,
4,1,45
2,1,46
3,-1,
3,-1,
4,1,47
3,-1,
4,1,49
3,-1,
4,1,51
2,1,52
3,-1,
4,1,54
2,-1,56
3,-1,
3,-1,
4,1,57
3,-1,
4,1,58
3,-1,
4,1,60
3,-1,
4,1,62
3,-1,
4,1,63
1,1,64
3,-1,
4,1,66
1,-1,68
3,-1,
3,-1,
4,1,69
2,1,70
3,-1,
3,-1,
4,1,71
1,1,72
3,-1,
2,1,73
3,-1,
3,-1,
4,1,74
2,1,76
3,-1,
4,1,78
2,1,80
3,-1,
2,-1,
3,-1,
4,1,82
1,1,84
2,-1,
3,-1,
3,-1,
4,1,86
3,-1,
4,1,88
2,1,89
3,-1,
4,1,91
2,-1,93
3,-1,
2,1,94
3,-1,
4,1,96
2,1,98
3,-1,
2,1,100
3,-1,
2,-1,
3,-1,
4,1,101
2,-1,
3,-1,
2,-1,
3,-1,
4,1,103
1,1,105
2,-1,
3,-1,
2,-1,
3,-1,
2,-1,
3,-1,
4,1,107
2,-1,
3,-1,
2,1,109
3,-1,
2,1,110
3,-1,
2,1,112
3,-1,
4,1,114
2,-1,116
3,-1,
3,-1,
4,1,117
1,1,118
3,-1,
4,1,120
1,-1,122
3,-1,
2,1,123
3,-1,
1,1,124
2,1,126
3,-1,
2,1,128
3,-1,
4,1,130
2,1,132
3,-1,
2,-1,
3,-1,
4,1,134
1,1,136
2,-1,
3,-1,
2,1,138
3,-1,
1,1,140
2,1,142
3,-1,
2,-1,144
3,-1,
2,1,145
3,-1,
2,-1,
3,-1,
1,1,147
2,-1,
3,-1,
2,-1,
4,1,149
2,-1,
4,1,150
2,-1,
3,-1,
2,-1,
4,1,151
2,-1,
4,1,152
2,-1,
3,-1,
2,-1,
3,1,153
2,-1,
4,1,154
2,-1,
4,1,155
2,-1,
4,1,156
2,-1,
3,1,157
2,-1,
4,1,158
2,-1,
4,1,159
2,-1,
4,1,160
1,1,161
2,-1,
2,-1,
4,1,162
2,-1,
4,1,163
2,-1,
4,1,164
2,-1,
3,1,165
2,-1,
4,1,166
1,1,167
2,-1,
2,-1,
3,1,168
1,1,169
2,-1,
2,-1,
4,1,170
2,-1,
4,1,171
2,-1,
3,1,172
